Country rankings for the under-30s,Unnamed: 1,Unnamed: 2
Overall rank Country or region Life evaluation 1  Lithuania 7.795 2  Israel 7.667 3  Iceland 7.658 4  Serbia 7.658 5  Denmark 7.598 6  Luxembourg 7.301 7  Finland 7.319 8  Romania 7.302 9  Netherlands 7.122 10  Czechia 7.060 11  Costa Rica 7.057 12  Austria 7.029 14  Switzerland 6.955 15  Croatia 6.951 16  Slovenia 6.905 17  Kuwait 6.900 18  El Salvador 6.894 19  Sweden 6.838 20  Australia 6.822 21  Norway 6.818 22  Ireland 6.749 23  Mexico 6.743 24  Kosovo 6.733 25  Belgium 6.725 26  Taiwan 6.719 27  Panama 6.678 28  New Zealand 6.611 29  Nicaragua 6.609 30  Moldova 6.594 31  Uruguay 6.561 32  Latvia 6.523 33  United Kingdom 6.503 34  Bosnia and Herzegovina 6.491 35  Argentina 6.469 36  United Arab Emirates 6.448 37  Hungary 6.442 38  Paraguay 6.421 39  Slovakia 6.411 40  Chile 6.360 41  Bulgaria 6.358 42  Italy 6.346 43  Saudi Arabia 6.324 44  Poland 6.287 45  Estonia 6.284 46  Thailand 6.272 47  Portugal 6.257 48  Germany 6.234 49  France 6.195 50  Guatemala 6.188 51  Montenegro 6.188 52  Cyprus 6.068 53  South Korea 6.060 54  Greece 6.058 55  Singapore 6.048 56  Spain 6.043 57  Honduras 6.030 58  Malta 6.017 59  Canada 5.977 60  Ecuador 5.976 61  Brazil 5.975 62  Dominican Republic 5.973 63  United States 5.968 64  Peru 5.959 65  Malaysia 5.942 66  Vietnam 5.934 67  Albania 5.877 68  North Macedonia 5.866 69  Russia 5.842 70  Kazakhstan 5.841 71  Philippines 5.823 72  Uzbekistan 5.816 73  Armenia 5.816 74  Japan 5.785 75  Bolivia 5.784 76  Indonesia 5.725 77  Colombia 5.714 78  Bahrain 5.707 79  Georgia 5.696 80  China 5.695 81  Libya 5.607 82  Kyrgyzstan 5.568 83  Ukraine 5.463 84  Venezuela 5.455 85  Jamaica 5.422 86  Mauritius 5.369 87  Mongolia 5.364 88  South Africa 5.316 89  Congo 5.304 90  Tajikistan 5.281 91  Congo (Brazzaville) 5.221 92  Iraq 5.216 93  Gabon 5.185 94  Nepal 5.166 95  Algeria 5.158 96  Laos 5.139 97  Gabon 5.106 98  Mozambique 5.080 99  Azerbaijan 5.023 100  Iran 4.975 101  Hong Kong 4.969 102  Morocco 4.923 103  Senegal 4.893 104  Ivory Coast 4.881 105  Turkey 4.879 106  Palestine 4.874 107  Guinea 4.873 108  Laos 4.832 109  Namibia 4.795 110  Cameroon 4.657 111  Pakistan 4.556 112  Nigeria 4.548 113  Kenya 4.505 114  Gambia 4.485 115  Uganda 4.471 116  Cambodia 4.470 117  Liberia 4.422 118  Jordan 4.377 119  Benin 4.372 120  Niger 4.354 121  Burkina Faso 4.341 122  Tunisia 4.289 123  Mauritania 4.269 124  Chad 4.232 125  Myanmar 4.228 126  Sri Lanka 4.214 127  Madagascar 4.186 128  Mali 4.054 129  Togo 3.977 130  India 3.898 131  Bangladesh 3.886 132  Tanzania 3.861 133  Egypt 3.781 134  Ethiopia 3.566 135  Comoros 3.561 136  Botswana 3.502 137  Yemen 3.502 138  Zambia 3.421 139  Malawi 3.383 140  Lesotho 3.341 141  Zimbabwe 3.295 142  Congo 3.245 143  Sierra Leone 3.186 144  Lebanon 2.707 145  Afghanistan 1.721,,
Overall rank,Country or region,Life evaluation
1,Lithuania,7.795
2,Israel,7.667
3,Iceland,7.658
4,Serbia,7.658
5,Denmark,7.598
6,Luxembourg,7.301
7,Finland,7.319
8,Romania,7.302
9,Netherlands,7.122
10,Czechia,7.060
11,Costa Rica,7.057
12,Austria,7.029
14,Switzerland,6.955
15,Croatia,6.951
16,Slovenia,6.905
17,Kuwait,6.900
18,El Salvador,6.894
19,Sweden,6.838
20,Australia,6.822
21,Norway,6.818
22,Ireland,6.749
23,Mexico,6.743
24,Kosovo,6.733
25,Belgium,6.725
26,Taiwan,6.719
27,Panama,6.678
28,New Zealand,6.611
29,Nicaragua,6.609
30,Moldova,6.594
31,Uruguay,6.561
32,Latvia,6.523
33,United Kingdom,6.503
34,Bosnia and Herzegovina,6.491
35,Argentina,6.469
36,United Arab Emirates,6.448
37,Hungary,6.442
38,Paraguay,6.421
39,Slovakia,6.411
40,Chile,6.360
41,Bulgaria,6.358
42,Italy,6.346
43,Saudi Arabia,6.324
44,Poland,6.287
45,Estonia,6.284
46,Thailand,6.272
47,Portugal,6.257
48,Germany,6.234
49,France,6.195
50,Guatemala,6.188
51,Montenegro,6.188
52,Cyprus,6.068
53,South Korea,6.060
54,Greece,6.058
55,Singapore,6.048
56,Spain,6.043
57,Honduras,6.030
58,Malta,6.017
59,Canada,5.977
60,Ecuador,5.976
61,Brazil,5.975
62,Dominican Republic,5.973
63,United States,5.968
64,Peru,5.959
65,Malaysia,5.942
66,Vietnam,5.934
67,Albania,5.877
68,North Macedonia,5.866
69,Russia,5.842
70,Kazakhstan,5.841
71,Philippines,5.823
72,Uzbekistan,5.816
73,Armenia,5.816
74,Japan,5.785
75,Bolivia,5.784
76,Indonesia,5.725
77,Colombia,5.714
78,Bahrain,5.707
79,Georgia,5.696
80,China,5.695
81,Libya,5.607
82,Kyrgyzstan,5.568
83,Ukraine,5.463
84,Venezuela,5.455
85,Jamaica,5.422
86,Mauritius,5.369
87,Mongolia,5.364
88,South Africa,5.316
89,Congo,5.304
90,Tajikistan,5.281
91,Congo (Brazzaville),5.221
92,Iraq,5.216
93,Gabon,5.185
94,Nepal,5.166
95,Algeria,5.158
96,Laos,5.139
